,,,,"name","acronym","no. inscription","date de reconnaissance","contact person","address","website","phone","base country","sector","location","alis notes","nationalite","no. du moniteur","notes"
330,,,,"Coordination des artistes et artisans du Bel Air","CAABEL",,,"Ricot Jean Baptiste","191 rue des Cesars Bel Air, Port au Prince","www.belairhaiti.net","3670-1260",,"Arts & Culture ",,,,,
,,,"lo","Fondation Connaissance et Liberte","FOKAL",,,"Lorraine Mangones, Executive Director: lmangones @fokal.org; Elisabeth Pierre-Louis, Program Director: epierrelouis@fokal.org","143 Avenue Christophe, Port-au-Prince","www.fokal.org"," 22 24 54 21","Haiti","Arts & Culture, Children & Youth, Education","Port-au-Prince",,"Haiti",,"Founded in 1995, FOKAL’s mission is to empower local actors and bridge segregated sectors of Haitian society in order to build a democracy that is rooted in Haitian culture and reality.  We operate our own programs and also issue grants to individuals and institutions and associations.  Our strategic priorities are: Community based management of resources for the protection and regeneration of environment, Empowerment of youth and other marginalized populations through education, arts & culture, Access to information through building a network of centers where books, documents, and new technologies are available to all.
"
"x",,,"c","Groupe Medialternatif ",,,,"gm@medialternatif.org ",,"http://www.iadb.org/ ","2554-1882",,"Arts & Culture ","Information ",,,,
"x",,,"c","Konsey Nasyonal Finansman PopileLFHH  La Fondation Héritage pour Haïti / Le Centre pour l'Ethique et l'Intégrité Publique et Privée ","KNFP ",,,"heritagehaiti@yahoo.com http://www.transparency.org/ ","Mailing",,,,"Arts & Culture "," ",,,,
,,,"gc","McAslan Trust (John McAslan Family Trust)",,,,"contact@mcaslan-family-trust.com","19 Campden Hill Square London W8 7JY","http://www.mcaslan-family-trust.com/",,,"Arts & Culture, Education, ",,,,,
"x",,,"c","Sculptors of Grand Rue ",,,,,,"http://www.atis-rezistans.com/ ","2224-3441",,"Arts & Culture "," ",,,,
"x",,,"c","Union des Amis Socio Culturels d'Action en Développement","UNASCAD ",,,"unascad_ht@yahoo.fr, unascad@hotmail.com ","B.P. 339 Port-au-Prince Haiti ",,,,"Arts & Culture "," ",,,,
1078,,,,"Visa Loisirs","VL","B-0256",26-Mar-1997,"Rose Marie PARET","Delmas 56, Shopping Center",,,,"Arts & Culture ","Port-au-Prince (l'West)",,"Haitian",,
121,,,,"Association pour la Promotion de la Famille Haitian ","PROFAMIL",,9-Sep-1985,"M. Amos DUROSIER","86, Rue Du Champ de Mars",,"222-5783",,"Children & Youth, Women's Programs, ",,,"Haitian","# 82  25/11/85",
473,,,,"Fondation Timoun se Lespwa",,,,"Frere Jean Cefenor Louisimond","24, Bergeau, Delmas Port au Prince Haitit",,"245-0251",,"Children & Youth ",,,,,
,,,,"Haiti Lifeline",,,,"johnratzlaff@haitilifelineministries.org","P.O. Box 508, Hesston, KS 67062",,,"US","Children & Youth, Education, Water & Sanitation","Croix des Bouquets",,,,
585,,,,"Haitian Institute of Chilhood","IHE",,,"Dr. Antoine AUGUSTIN","41, rue Borno, BP 15606, Pieton Ville, Haiti",,"510-4766",,"Children & Youth ",,,"Haitian",,
"x",,,,"Maison de Naissance","MN",,,"info@maisondenaissance.org","6247 Brookside Blvd., Suite 224, Kansas City, MO 64113","www.maisondenaissance.org","816-812-7100",,"Children & Youth, Women's Programs, ",,,,,
"x",,,,"Meds and Foods for Kids ","MFK",,,"pwolff@medandfoodforkids.org","4488 Forest Park Parkway, Suite 230, ST. Louis, MO 63108","www.medandfoodforkids.org",,,"Children & Youth, Food Security, ",,,,,
,,,"lo","Mercy & Sharing Foundation","MSF",,,"susie@haitichildren.com","201 N. Mill Street, Suite 201, Aspen, CO 81611","www.haitichildren.com","(877) 424-844","USA","Children & Youth, Health, ","Cite Soleil, Hinche, Port-au-Prince, Cazeau",,"USA",,"Mercy & Sharing has established a number of projects in Haiti in an effort to provide a safe haven for the many abandoned, malnourished and impoverished children who have nowhere else to turn. The projects range from the abandoned baby unit at the public hospital, Hopital d'Etat del'Universite, to a school in the slums of Cite de Soliel, to an orphanage for terminally ill and handicapped children, an orphanage for healthy infants and toddlers, a number of new feeding centers and our recently opened Health Center."
890,,,,"Plan Haiti",,,,"Stefanie Conrad, Nicole Pierre-Louis","Impasse Lily No 3, Rue stephen, Delmas 60 , Port au Prince, Haiti","comhti@planinternational-ht.org","256-1438",,"Children & Youth ",,,,,
,,,"x","Plan International ","PI",,28-Mar-1984,"Rezene TESFAMARIAM","5A, Delmas 60, BP,2193, P-au-P, marie-denise.dortilus@plan-international.org","www.plan-international.org","510-9471",,"Children & Youth ","West",,"American","# 20,  14/3/85",
919,,,,"Programme d'encadrement des jeunes","PEJEFE",,,"Erlande Merceron","Rue Becassine 61, Port au Prince, Haiti",,"221-3485",,"Children & Youth ",,,,,
,,,"x","Save the Chlidren","SCF",,,"1. Lee W. Nelson, Country Director (3732-0147 / 2257-8057)
2. Athus Pierre, MYAP Manager (3404-2233); (3431-2930)
3. Martial Bailey, Monetization Manager (3445-9172)
4. Mireille Henri, MYAP Mirebalais  (2276-1002/276-1099)
5. Jean-Edner Nelson, Deputy Country Director Finance and Administration
 
","18, Rue Emeric, Bourdon
Ancien Banque Mondiale
B.P. 1390, PAP
","lnelson@savechildren.org apierre@savechildren.org mbailey@savechildren.org  jenelson@savechildren.org Wdessalines@savechildren.org  ","2260-0513",,"Children & Youth, Humanitarian Assistance, ",,,,,
1047,,,,"Tribunal pour enfants",,,,"Juge Norah Amilcar Jean-Francois","Rue pieton 16, Port au Prince Haiti",,"556-3083",,"Children & Youth ",,,,,
1074,,,,"Village d'enfants SOS",,,,"Pierre Michel Andre","Santo 19, Croix des Bouquets, Haiti",,"238-1134",,"Children & Youth ",,,,,
"x",,,"c","Villages d'Enfants SOS ",,,,,"Boites Postales 966 1691 Port-au-Prince Haiti  Rue José Marti","http://www.sos-childrensvillages.org/ ",,,"Children & Youth "," ",,,,
841,,,,"Organisation Pré-Desastre et de Secours ","OPDES",,,,"148 Avenue de Martin Luther king Port-au-Prince",,"2260-5700",,"Disaster Risk Preparedness ",,,,,
"x",,,"c","Agence de Développement Économique Intégré","ADECOI ",,,"E-mail:","Ave. des Marguerites #21 Port-au-Prince Haiti ",,,,"Economic Development "," ",,,,
"x",,,"c","Agence Française de Développement","AFD ",,,"afd.haiti@hotmail.com ","Rue Saint-Hugues Quartier Turgeau Port-au-Prince Haiti","http://www.afd.fr/ ","2245-4007",,"Economic Development ","International ",,,,
66,,,,"Appropriate Infrastructure Development Group","AIDG",,,"Peter Haas",,"www.aidg.org",,,"Economic Development ",,,,,
136,,,,"Ayiti Gouvenans","AG","B-0452",10-Nov-2008,"Jackson VOLTAIRE","19, Rue Godfroy, Delmas 33 www.ayitigouvenans.org",,"3402-2119",,"Economic Development ","Jean-Rabel          Mole Saint-Nicolas",,"Haitian",,
138,,,"x","Banqu Populaire Haitienne ",,,,,,,,,"Economic Development ",,,,,
139,,,"x","Banque de l’Union Haitienne ",,,,,,,,,"Economic Development ",,,,,
155,,,,"BND 


",,,,"1. Rob J. Padberg, Country Director (3403-4889)
2. Michèle Routhier, Coordonatrice (3454-8690)
3. Emmline Toussaint, (445-2275)
4. Alfred Etienne, (3428-5101)
","Rue Soleil en face Bld. 23
Shodecosa, PAP","rpadberg@bndhaiti.org michelle_rt2001@yahoo.com emmlinetoussaint@yahoo.com alfredetienne@yahoo.com  ","2510-784",,"Economic Development ",,,,,
163,,,,"Bureau de Coordination des Programmes de
Développement de l’Eglise Méthodiste d’Haïti","COD-EMH",,,"Jean Michel Basquin","Delmas 95, No 15, Pétion-Ville, Haïti",,"257 9228","Haiti","Economic Development, Education, Water & Sanitation",,,,,
"x",,,"c","Bureau de Recherche en Informatique et en Développement Economique et Social","BRIDES ",,,"ffortunat@haitiworld.com ","118 Rue Pavée 1er Etage Suite 2 Port au Prince Haiti ",,"2222-2642",,"Economic Development ",,,,,
"x",,,"c","Center for International Private Enterprise","CIPE ",,,"E-mail:","Angle rues Solon Menos et Rodolphe Barreau Peguy Ville Haiti ","http://www.cipe.org/ ",,,"Economic Development ",,,,,
"x",,,"c","Centre de Management et Productivité","CMP ",,,"cmpcogefosa@hainet.net pierreandreg@yahoo.fr ","Delmas Port-au-Prince Haiti",,"2246-3772",,"Economic Development ",,,,,
"x",,,"c","Centre de Recherche et d'Action pour le Développement","CRAD ",,,"cradhaiti@yahoo.com crad@haitiworld.com ","Rue J. Perez 6 Delmas Haiti","http://www.auf.org/ ","2246-3496",,"Economic Development ",,,,,
"x",,,"c","Centre de Recherche et de Formation Économique et Sociale pour le Développement","CRESFED ",,,"Email: cresfed@cresfed.org ","Rue Jean Baptiste Canapé Vert Port-au-Prince Haiti","http://www.cresfed.org ","2245-2828",,"Economic Development ",,,,,
"x",,,"c","Centre de Technique de Planification et d'Économie Appliquée","CTPEA ",,,"ctpea@ht.refer.org ",,,"2223-9216",,"Economic Development ",,,,,
232,,,,"Centre for Specialized Education ",,,,,"73, rue Enterrement, Port-au-Prince",," 222 21 54 ",,"Economic Development ",,,,,
243,,,,"Centre Pilote de Développement de la Grande Rivière de Nippes ","CEPIDEGRIN","B-0182",31-May-1995,"Léon B. CANAL","149, Route Frère Delmas 105",,"257-2726",,"Economic Development ","Grandes Rivière de Nippes",,"Haitian",,
259,,,,"Chosen Ministry ","CM","SS-002",17-Jun-2002,"M. Enock Gustave","73, Avenue N",,"245-1773",,"Economic Development ","Port-au-Prince et ds les églises",,"Haitian",,
,,,,"Church World Service","CWS",,,"
cofhed_questions@cofhed.org","New York headquarters 475 Riverside Dr., Suite 700 New York, NY 10115","http://www.churchworldservice.org/site/PageServer","212-870-2061",,"Economic Development ",,,,,
296,,,,"Comité de Soutien a l'Epanouissement de Vieux Bourg d'Aquin et du Sud d'Haïti ","COSEVBASH","B-0317",22-May-2003,"Raymond SEIDE                        Malivert CHRISLHOMME         ","Rte. Nle. # 2, Vieux Bourg d'Aquin, 40, Hôpital Charles Pasqua                  9, Impasse Jeanco, Christ-Roi,           Port-au-Prince                                     B.P 15141 P-V                                       E-mail:cosevbashonghaiti@yahoo.fr",,"287-0662",,"Economic Development, Health, ","South                           Bourg d'Aquin",,"French",,
299,,,,"Comité Limbeen de Développement et de Planification","COLIDEP",,31-Jul-1986,"Ing. Jovenel HENRI","Ave. Pétion, Limbé",,,,"Economic Development ","Limbé                     ",,"Haitian","# 81, 6/10/86",
"x",,,"c","Conseil National des Cooperatives","CNC ",,,,,,"2245-7144",,"Economic Development "," ",,,,
"x",,,"c","Coopération Allemande au Développement","GTZ ",,,"gtzhaiti@acn2.net ","Boite Postale no. 15927 Petion-Ville","http://www.gtz.de/ ","2245-2446",,"Economic Development ","International ",,,,
338,,,,"Coude a Coude pour le Développement Valleen ","CODEVA",,5-Jul-1985,"M. Roger BOURSIQUOT","La Vallée de Jacmel",,,,"Economic Development ","Jacmel",,"Haitian","# 67, 23/9/85 ",
,,,"gc","Deshpande Foundation",,,,,"92 Montvale Ave, Suite 2500 Stoneham, MA 02180","http://www.deshpandefoundation.org/","(781)-481-9055",,"Economic Development ",,,,,
353,,,,"Développement International Desjardins ","DID","B-0261",15-Jul-1997,"Jacques DUROCHER","31, Rue Ogé, P-V, BP.15041",,"257-2751",,"Economic Development ","West",,"Canadian",,
,,,"x","Earth institute ",,,,,"The Earth Institute, Columbia University, 405 Low Library, MC 4335, 535 West 116th t, New York, NY",,"(845) 365-8565, (845) 365-8164","USA","Economic Development ",,,"USA",,"The Earth Institute’s overarching goal is to help achieve sustainable development primarily by expanding the world’s understanding of Earth as one integrated system. We work toward this goal through scientific research, education and the practical application of research for solving real-world challenges. With 850 scientists, postdoctoral fellows and students working in and across more than 20 Columbia University research centers, the Earth Institute is helping to advance nine interconnected global issues: climate and society, water, energy, poverty, ecosystems, public health, food and nutrition, hazards and urbanization. "
430,,,,"Fondation Espoir ","FONDESPOIR","B-0190",4-Jul-1995,"Gabriel BIEN-AIME","13, Rue Sapotille, Desprez",,"245-2011",,"Economic Development ","l'West",,"Haitian","# 68,  28/8/95",
437,,,,"Fondation Haitian de Développement ","FHD",,3-Aug-1984,"Guy R. PAUL","106, Ave. Christophe, P-au-P, BP.15326, Pétion-Ville",,"245-2206",,"Economic Development ","West",,"Haitian","# 71, 4/10/84",
443,,,,"Fondation Haitian pour et l'Intégration des Sans-Abri ","FONDHABISA","B-0283",5-Jun-2001,"M. Frantz-Gérard S. VERRET","30, Delmas 19",,"246-0696",,"Economic Development ","West",,"Haitian",,
483,,,,"Fonds d'Exploitation des Ressources Maternelles et Humaines du Pays ","FEREP",,30-Jun-1989,"Rév. Philomé JEAN-PIERRE","Limonade",,,,"Economic Development ","Limonade",,"Haitian","# 74,  14/12/89",
"x",,,"c","Foundation for International Development Assistance","FIDA ",,,,"6 Delmas 81 Port-au-Prince Haiti ","http://www.fida-pch.org/ ",,,"Economic Development "," ",,,,
"x",,,,"GAD NIPPES - GROUPE D'APPUI AU DEVELOPPEMENT DE NIPPES",,,,,,,,,"Economic Development ","Part of the Coordination of Haiti Eurpoe (CoHE)",,,,2004
,,,"x","Good Energies Foundation",,,,,,,,,"Economic Development ",,,,,"The mission of the Good Energies Foundation is poverty alleviation through sustainable access to renewable energy. They have supported a range of initiatives, from solar powered clinics and water pumps, to electrification projects for villages and for schools."
536,,,,"Grassroots International",,,,,"179 Boylston Street, 4th floor
Boston MA 02130 USA","www.grassrootsonline.org",,,"Economic Development ",,,,,
540,,,,"Group Medialternatif","GM",,,,"Delmas 38 # 8
Port-au-Prince, Haiti, HT6120
B.P.19211","http://www.medialternatif.org/gm.html",,"Haiti","Economic Development, Media, ",,,,,
532,,,,"GROUPE DE RECHERCHE ET D'APPUI AU FAR WEST","GRAF",,,,,,,,"Economic Development ",,,,,
"x",,,,"GROUPE TECHNOLOGIQUE INTERMEDIAIRE D'HAITI","GTIH","-",,,,,,,"Economic Development ",,,,,
"x",,,"c","Habitat pour l'Humanité International","HpH ",,,"hphh@transnethaiti.com ","B.P. 15685 Petionville, HT 6140","http://www.habitat.org/ ","2512-4674",,"Economic Development "," ",,,,
"x",,,"c","Haitian Association of Voluntary Agencies","HAVA ",,,"havainfo@acn.com ","Rue Chochotte Babiole Port-au-Prince Haiti",,"2245-1186",,"Economic Development "," ",,,,
"x",,,,"Haitian Platform to Advocate Alternative Development ","PAPDA",,,"Maguiar@GrassRoots.org","179 Boylston St., 4th Floor, Boston, MA 02130","www.GrassRoots.org","617-524-1400","US","Economic Development, Food Security, Adovcay"," part of GrassRoots organization",,,,
642,,,,"International Crisis Group","Crisis Group","B-0448",9-Sep-2008,"Mme Anna OSBORNE","27, Ruelle Pie, Delmas 83",,"3438-0377",,"Economic Development ","Port-au-Prince et les principales villes",,"American",,
643,,,,"International Exécutive Service Corps ","IESC",,28-Feb-1986,"Ursina M. SWANSON","Cité de l'exposition,  BP.13486 Delmas, P-au-P",,,,"Economic Development ",,,"American"," ",
,,,"x","Lambi Fund of Haiti",,,,,"PO Box 18955, Washington, DC 20036","http://www.lambifund.org/","245.9445","USA","Economic Development, Environment, Microfiance",,,"USA",,"The Lambi Fund provides financial resources, training and technical assistance to peasant-led community organizations that promote the social and economic development of Haiti. The Lambi Fund's mission is to assist the popular, democratic movement in Haiti. Its goal is to help strengthen civil society as a necessary foundation of democracy and development. The fund channels financial and other resources to community-based organizations that promote the social and economic empowerment of the Haitian people."
,,,"lo","MOUVEMENT DES CHOMEURS HAITIENS","MOCHOH",,,"Joseph Innocent, chomeurshaitiens@yahoo.fr","10, Ave. Magloire Ambroise, Port-au-Prince, Haïti
",,"35271470","Haiti","Economic Development, Advocacy & Policy, ","Les 143 communes d'Haiti",,"USA",,
776,,,,"National Democratic Institute for International Affairs","NDI","B-0421",13-Jul-2007,"Gerard LATULLIE","1, Rue Sérin, Delmas 71, Complexe Lafayette, 2 eme étage #5 ",,"249-8626",,"Economic Development ","West                     Nippes                      North-West Artibonite              Centre",,"American",,
,,,"x","Oxfam Grande Bretagne ","OXFAM GB","SS-004",16-Oct-2002,"Yolette ETIENNE"," 4, Rue Marcadieu, Bourdon","http://www.oxfam.org.uk/","245-9077",,"Economic Development ","Haïti",,"English",,
,,,"x","Oxfam Québec","OQ","B-0189",13-Jun-1995,"Philippe MATHIEU"," 4, Rue Marcadieu, Bourdon","http://www.oxfam.org.uk/","245-3271",,"Economic Development ","Haïti",,"Quebecois",,
881,,,,"Partnership For Productivity ","PFP",,21-Nov-1983,,"B.P 15059, P.V",,,,"Economic Development ",,,,"# 84-A, 01/12/83",
895,,,,"Planing Assistance ","PA","B-0184",26-May-1995,"Daniel James O'NEIL","1, Rue Théodule, Bourdon",,"245-6285",,"Economic Development ","Haïti",,"American",,
910,,,,"Private Agencies Collaborating Together ","PACT","B-0214",26-Dec-1995,"Denise BROWN","6, Rue Marcadieu, Bourdon",,"245-0458",,"Economic Development ","Cap-Haïtien                 Gonaïves                  Hinche                         Jacmel                              Les Cayes",,"American","# 24",
"x",,,"c","Réseau de Développement Durable en Haïti","RDDH ",,,,"Rte de Bourdon et Rue Frémy # 1 Port-au-Prince Haiti ","http://www.rddh.org.ht/ ",,,"Economic Development "," ",,,,
"x",,,"c","Réseau Télématique Haïtien pour la Recherche et le Développement","REHRED ",,,,"#20, rue Garoute, Pacot Port-au-Prince",,,,"Economic Development ","Information ",,,,
964,,,,"Salomé","SALOME","B-0215",4-Jun-1996,"Fritz SAINTELUS","13, Delmas 51 ",,"246-1293",,"Economic Development ","Jacmel (South)",,"Haitian","# 16, 27/2/97",
"x",,,"c","Services Network for Entrepreneurial Empowerment","DAI/FINNET ",,,,"11 rue Lechaud","http://www.daifinnet.com/ ","2245-0276",,"Economic Development "," ",,,,
998,,,,"Société de Coopération pour le Développement International ","SOCODEVI","B-0252",13-Jan-1997,"René GRAVEL","31, rue Ogé, P-V",,"257-7114",,"Economic Development ","West                      North                    North-East        Artibonite              South-East",,"Canadian",,
"x",,,"c","Société de Gestion Economique et Financière SA","Sogefim S.A. ",,,,,,"2223-9100",,"Economic Development "," ",,,,
"x",,,,"Soul of Haiti Foundation ",,,,,,,,"Ireland","Economic Development ",,,,,
,,,"x","The Southern Cone coalition for Sustainable Development  ",,,,,,,,"Haiti","Economic Development, Environment, ",,,,,
,,,"gc","TOMS Shoes ",,,,,"3025 Olympic Blvd., Suite C Santa Monica, CA 90404","http://www.tomsshoes.com/","800-975-TOMS (8667) 310-566-3170",,"Economic Development ",,,,,
12,,,,"Action Concertée pour le Développement ","ACODEV","B-0249",30-Oct-1996,"Rose Morène M. ARNOUX","199 A, Route de Delmas",,"246-4144",,"Education, Health, Agriculture","L'Azile          Morisseau   Grand'Anse",,"Haitian",,
20,,,,"Action Missionnaire Globale ","AMG/HAITI",,9-Jul-1984,"Past. Kelly BALDE","1ère rue Jeune, Delmas 19, B.P. 493,  P-au-p",,"246-1065",,"Education, Health, Food Security","North                                        South east                                 Noth east                 North West  Center                           South                                    Nippes         Artibonite                                   West",,"American","# 64                   8/9/84",
